Rank,Time,Name,Country,Date of Birth,Place,City,Date,Gender,Event
11,26:35.6,Micah Kogo,KEN,03/06/1986,1,Bruxelles,25/08/2006,Men,"10,000 m"
1,02:02:57,Dennis Kimetto,KEN,22/04/1984,1,Berlin,28/09/2014,Men,Marathon
2,02:03:02,Geoffrey Mutai,KEN,07/10/1981,1,Boston,18/04/2011,Men,Marathon
3,02:03:03,Kenenisa Bekele,ETH,13/06/1982,1,Berlin,25/09/2016,Men,Marathon
4,02:03:05,Eliud Kipchoge,KEN,05/11/1984,1,London,24/04/2016,Men,Marathon
5,02:03:06,Moses Mosop,KEN,17/07/1985,2,Boston,18/04/2011,Men,Marathon
6,02:03:13,Emmanuel Mutai,KEN,12/10/1984,2,Berlin,28/09/2014,Men,Marathon
6,02:03:13,Wilson Kipsang Kiprotich,KEN,15/03/1982,2,Berlin,25/09/2016,Men,Marathon
8,02:03:23,Wilson Kipsang Kiprotich,KEN,15/03/1982,1,Berlin,29/09/2013,Men,Marathon
9,02:03:38,Patrick Makau,KEN,02/03/1985,1,Berlin,25/09/2011,Men,Marathon
10,02:03:42,Wilson Kipsang Kiprotich,KEN,15/03/1982,1,Frankfurt,30/10/2011,Men,Marathon
1,00:10.5,Florence Griffith-Joyner,USA,21/12/1959,1,Indianapolis,16/07/1988,Women,100 m
2,00:10.6,Florence Griffith-Joyner,USA,21/12/1959,1,Indianapolis,17/07/1988,Women,100 m
3,00:10.6,Florence Griffith-Joyner,USA,21/12/1959,1,Seoul,24/09/1988,Women,100 m
4,00:10.6,Carmelita Jeter,USA,24/11/1979,1,Shanghai,20/09/2009,Women,100 m
5,00:10.7,Marion Jones,USA,12/10/1975,1,Johannesburg,12/09/1998,Women,100 m
6,00:10.7,Carmelita Jeter,USA,24/11/1979,1,Thessaloníki,13/09/2009,Women,100 m
7,00:10.7,Florence Griffith-Joyner,USA,21/12/1959,1,Indianapolis,17/07/1988,Women,100 m
7,00:10.7,Marion Jones,USA,12/10/1975,1,Sevilla,22/08/1999,Women,100 m
7,00:10.7,Carmelita Jeter,USA,24/11/1979,1,Eugene,04/06/2011,Women,100 m
7,00:10.7,Shelly-Ann Fraser-Pryce,JAM,27/12/1986,1,Kingston,29/06/2012,Women,100 m
7,00:10.7,Elaine Thompson,JAM,28/06/1992,1,Kingston,01/07/2016,Women,100 m
1,01:53.3,Jarmila Kratochvílová,CZE,26/01/1951,1,München,26/07/1983,Women,800 m
2,01:53.4,Nadezhda Olizarenko,UKR,28/11/1953,1,Moskva,27/07/1980,Women,800 m
3,01:54.0,Pamela Jelimo,KEN,15/12/1989,1,Zürich,29/08/2008,Women,800 m
4,01:54.4,Ana Fidelia Quirot,CUB,23/03/1963,1,Barcelona,09/09/1989,Women,800 m
5,01:54.7,Jarmila Kratochvílová,CZE,26/01/1951,1,Helsinki,09/08/1983,Women,800 m
6,01:54.8,Olga Mineyeva,RUS,01/09/1952,2,Moskva,27/07/1980,Women,800 m
7,01:54.8,Ana Fidelia Quirot,CUB,23/03/1963,1,Köln,24/08/1997,Women,800 m
8,01:54.8,Nadezhda Olizarenko,UKR,28/11/1953,1,Moskva,12/06/1980,Women,800 m
9,01:54.9,Pamela Jelimo,KEN,15/12/1989,1,Beijing,18/08/2008,Women,800 m
10,01:54.9,Tatyana Kazankina,RUS,17/12/1951,1,Montréal,26/07/1976,Women,800 m
1,00:09.6,Usain Bolt,JAM,21/08/1986,1,Berlin,16/08/2009,Men,100 m
2,00:09.6,Usain Bolt,JAM,21/08/1986,1,London,05/08/2012,Men,100 m
3,00:09.7,Usain Bolt,JAM,21/08/1986,1,Beijing,16/08/2008,Men,100 m
3,00:09.7,Tyson Gay,USA,09/08/1982,1,Shanghai,20/09/2009,Men,100 m
3,00:09.7,Yohan Blake,JAM,26/12/1989,1,Lausanne,23/08/2012,Men,100 m
6,00:09.7,Tyson Gay,USA,09/08/1982,2,Berlin,16/08/2009,Men,100 m
7,00:09.7,Usain Bolt,JAM,21/08/1986,1,New York City,31/05/2008,Men,100 m
7,00:09.7,Asafa Powell,JAM,23/11/1982,1,Lausanne,02/09/2008,Men,100 m
9,00:09.7,Asafa Powell,JAM,23/11/1982,1,Rieti,09/09/2007,Men,100 m
9,00:09.7,Justin Gatlin,USA,10/02/1982,1,Ad-Dawhah,15/05/2015,Men,100 m
1,00:43.0,Wayde van Niekerk,RSA,15/07/1992,1,Rio de Janeiro,14/08/2016,Men,400 m
2,00:43.2,Michael Johnson,USA,13/09/1967,1,Sevilla,26/08/1999,Men,400 m
3,00:43.3,Harry Reynolds,USA,08/06/1964,1,Zürich,17/08/1988,Men,400 m
4,00:43.4,Michael Johnson,USA,13/09/1967,1,Göteborg,09/08/1995,Men,400 m
5,00:43.4,Michael Johnson,USA,13/09/1967,1,Atlanta,19/06/1996,Men,400 m
6,00:43.5,Jeremy Wariner,USA,31/01/1984,1,Osaka,31/08/2007,Men,400 m
7,00:43.5,Wayde van Niekerk,RSA,15/07/1992,1,Beijing,26/08/2015,Men,400 m
8,00:43.5,Michael Johnson,USA,13/09/1967,1,Atlanta,29/07/1996,Men,400 m
9,00:43.5,Quincy Watts,USA,19/06/1970,1,Barcelona,05/08/1992,Men,400 m
9,00:43.5,Jeremy Wariner,USA,31/01/1984,1,Stockholm,07/08/2007,Men,400 m
11,00:43.6,Jeremy Wariner,USA,31/01/1984,1,Roma,14/07/2006,Men,400 m
1,00:58:23,Zersenay Tadese,ERI,02/08/1982,1,Lisboa,21/03/2010,Men,Half marathon
2,00:58:31,Zersenay Tadese,ERI,02/08/1982,1,Lisboa,20/03/2011,Men,Half marathon
3,00:58:33,Samuel Wanjiru,KEN,11/10/1986,1,Den Haag,17/03/2007,Men,Half marathon
4,00:58:44,Solomon Yego,KEN,05/10/1987,1,Roma-Ostia Lido,13/03/2016,Men,Half marathon
5,00:58:46,Mathew Kisorio,KEN,16/05/1989,1,Philadelphia,18/09/2011,Men,Half marathon
6,00:58:47,Atsedu Tsegay,ETH,17/12/1991,1,Praha,31/03/2012,Men,Half marathon
7,00:58:48,Sammy Kirop Kitwara,KEN,26/11/1986,2,Philadelphia,18/09/2011,Men,Half marathon
7,00:58:48,Abraham Cheroben,KEN,11/10/1992,1,Valencia,19/10/2014,Men,Half marathon
9,00:58:52,Patrick Makau,KEN,03/02/1985,1,Ra's Al Khaymah,20/02/2009,Men,Half marathon
10,00:58:53,Samuel Wanjiru,KEN,11/10/1986,1,Ra's Al Khaymah,09/02/2007,Men,Half marathon
1,00:21.3,Florence Griffith-Joyner,USA,21/12/1959,1,Seoul,29/09/1988,Women,200 m
2,00:21.6,Florence Griffith-Joyner,USA,21/12/1959,1,Seoul,29/09/1988,Women,200 m
3,00:21.6,Marion Jones,USA,12/10/1975,1,Johannesburg,11/09/1998,Women,200 m
4,00:21.6,Dafne Schippers,NED,15/06/1992,1,Beijing,28/08/2015,Women,200 m
5,00:21.6,Merlene Ottey,JAM,10/05/1960,1,Bruxelles,13/09/1991,Women,200 m
6,00:21.7,Merlene Ottey,JAM,10/05/1960,1,Zürich,15/08/1990,Women,200 m
6,00:21.7,Elaine Thompson,JAM,28/06/1992,2,Beijing,28/08/2015,Women,200 m
8,00:21.7,Allyson Felix,USA,18/11/1985,1,Eugene,30/06/2012,Women,200 m
9,00:21.7,Marita Koch,GDR,18/02/1957,1,Karl-Marx-Stadt,10/06/1979,Women,200 m
9,00:21.7,Marita Koch,GDR,18/02/1957,1,Potsdam,21/07/1984,Women,200 m
9,00:21.7,Heike Drechsler,GER,16/12/1964,1,Jena,29/06/1986,Women,200 m
9,00:21.7,Heike Drechsler,GER,16/12/1964,1,Stuttgart,29/08/1986,Women,200 m
1,03:50.1,Genzebe Dibaba,ETH,02/08/1991,1,Monaco,17/07/2015,Women,1500 m
2,03:50.5,Qu Yunxia,CHN,25/12/1972,1,Beijing,11/09/1993,Women,1500 m
3,03:51.0,Jiang Bo,CHN,13/03/1977,1,Shanghai,18/10/1997,Women,1500 m
4,03:51.3,Lang Yinglai,CHN,22/08/1979,2,Shanghai,18/10/1997,Women,1500 m
5,03:51.9,Wang Junxia,CHN,01/09/1973,2,Beijing,11/09/1993,Women,1500 m
6,03:52.5,Tatyana Kazankina,RUS,17/12/1951,1,Zürich,13/08/1980,Women,1500 m
7,03:53.9,Yin Lili,CHN,11/11/1979,3,Shanghai,18/10/1997,Women,1500 m
8,03:54.0,Paula Ivan,ROU,20/07/1963,1,Seoul,01/10/1988,Women,1500 m
9,03:54.0,Lan Lixin,CHN,14/02/1979,4,Shanghai,18/10/1997,Women,1500 m
10,03:54.1,Genzebe Dibaba,ETH,02/08/1991,1,Barcelona,08/07/2015,Women,1500 m
1,12:37.4,Kenenisa Bekele,ETH,13/06/1982,1,Hengelo,31/05/2004,Men,5000 m
2,12:39.4,Haile Gebrselassie,ETH,18/04/1973,1,Helsinki,13/06/1998,Men,5000 m
3,12:39.7,Daniel Komen,KEN,17/05/1976,1,Bruxelles,22/08/1997,Men,5000 m
4,12:40.2,Kenenisa Bekele,ETH,13/06/1982,1,Saint-Denis,01/07/2005,Men,5000 m
5,12:41.9,Haile Gebrselassie,ETH,18/04/1973,1,Zürich,13/08/1997,Men,5000 m
6,12:44.4,Haile Gebrselassie,ETH,18/04/1973,1,Zürich,16/08/1995,Men,5000 m
7,12:44.9,Daniel Komen,KEN,17/05/1976,2,Zürich,13/08/1997,Men,5000 m
8,12:45.1,Daniel Komen,KEN,17/05/1976,1,Zürich,14/08/1996,Men,5000 m
9,12:46.5,Eliud Kipchoge,KEN,05/11/1984,1,Roma,02/07/2004,Men,5000 m
10,12:46.8,Dejen Gebremeskel,ETH,24/11/1989,1,Saint-Denis,06/07/2012,Men,5000 m
1,01:04:52,Joyciline Jepkosgei,KEN,12/08/1993,1,Praha,04/01/2017,Women,Half marathon
2,01:05:06,Peres Jepchirchir,KEN,27/09/1993,1,Ra's Al Khaymah,02/10/2017,Women,Half marathon
3,01:05:07,Florence Kiplagat,KEN,27/02/1987,1,Barcelona,15/02/2015,Women,Half marathon
4,01:05:12,Florence Kiplagat,KEN,27/02/1987,1,Barcelona,16/02/2014,Women,Half marathon
5,01:05:13,Mary Keitany,KEN,18/01/1982,2,Ra's Al Khaymah,02/10/2017,Women,Half marathon
6,01:05:22,Violah Jepchumba,KEN,23/10/1990,2,Praha,04/01/2017,Women,Half marathon
7,01:05:39,Mary Keitany,KEN,18/01/1982,1,Newcastle-South Shields,09/07/2014,Women,Half marathon
8,01:05:40,Paula Radcliffe,GBR,17/12/1973,1,Newcastle-South Shields,21/09/2003,Women,Half marathon
9,01:05:44,Susan Chepkemei,KEN,25/06/1975,1,Lisboa,04/01/2001,Women,Half marathon
10,01:05:45,Priscah Jeptoo,KEN,26/06/1984,1,Newcastle-South Shields,15/09/2013,Women,Half marathon
1,14:11.2,Tirunesh Dibaba,ETH,06/01/1985,1,Oslo,06/06/2008,Women,5000 m
2,14:12.6,Almaz Ayana,ETH,21/11/1991,1,Roma,06/02/2016,Women,5000 m
3,14:12.9,Meseret Defar,ETH,19/11/1983,1,Stockholm,22/07/2008,Women,5000 m
4,14:14.3,Almaz Ayana,ETH,21/11/1991,1,Shanghai,17/05/2015,Women,5000 m
5,14:15.4,Genzebe Dibaba,ETH,02/08/1991,1,Saint-Denis,07/04/2015,Women,5000 m
6,14:16.3,Almaz Ayana,ETH,21/11/1991,1,Rabat,22/05/2016,Women,5000 m
7,14:16.6,Meseret Defar,ETH,19/11/1983,1,Oslo,15/06/2007,Women,5000 m
8,14:18.9,Almaz Ayana,ETH,21/11/1991,1,Bruxelles,09/09/2016,Women,5000 m
9,14:19.8,Genzebe Dibaba,ETH,02/08/1991,1,Eugene,30/05/2015,Women,5000 m
10,14:20.9,Vivian Cheruiyot,KEN,09/11/1983,1,Stockholm,29/07/2011,Women,5000 m
11,14:21.3,Genzebe Dibaba,ETH,02/08/1991,1,Oslo,06/11/2015,Women,5000 m
1,02:15:25,Paula Radcliffe,GBR,17/12/1973,1,London,13/04/2003,Women,Marathon
2,02:17:01,Mary Keitany,KEN,18/01/1982,1,London,23/04/2017,Women,Marathon
3,02:17:18,Paula Radcliffe,GBR,17/12/1973,1,Chicago,13/10/2002,Women,Marathon
4,02:17:42,Paula Radcliffe,GBR,17/12/1973,1,London,17/04/2005,Women,Marathon
5,02:17:56,Tirunesh Dibaba,ETH,01/06/1985,2,London,23/04/2017,Women,Marathon
6,02:18:37,Mary Keitany,KEN,18/01/1982,1,London,22/04/2012,Women,Marathon
7,02:18:47,Catherine N'dereba,KEN,21/07/1972,1,Chicago,07/10/2001,Women,Marathon
8,02:18:56,Paula Radcliffe,GBR,17/12/1973,1,London,14/04/2002,Women,Marathon
9,02:18:57,Rita Sitienei Jeptoo,KEN,15/02/1981,1,Boston,21/04/2014,Women,Marathon
10,02:18:58,Tiki Gelana,ETH,22/10/1987,1,Rotterdam,15/04/2012,Women,Marathon
1,29:17.4,Almaz Ayana,ETH,21/11/1991,1,Rio de Janeiro,08/12/2016,Women,"10,000 m"
2,29:31.8,Wang Junxia,CHN,09/01/1973,1,Beijing,09/08/1993,Women,"10,000 m"
3,29:32.5,Vivian Cheruiyot,KEN,11/09/1983,2,Rio de Janeiro,08/12/2016,Women,"10,000 m"
4,29:42.6,Tirunesh Dibaba,ETH,01/06/1985,3,Rio de Janeiro,08/12/2016,Women,"10,000 m"
5,29:53.5,Alice Nawowuna,KEN,11/03/1994,4,Rio de Janeiro,08/12/2016,Women,"10,000 m"
6,29:53.8,Meselech Melkamu,ETH,19/04/1985,1,Utrecht,14/06/2009,Women,"10,000 m"
7,29:54.7,Tirunesh Dibaba,ETH,01/06/1985,1,Beijing,15/08/2008,Women,"10,000 m"
8,29:59.2,Meseret Defar,ETH,19/11/1983,1,Birmingham,07/11/2009,Women,"10,000 m"
9,30:01.1,Paula Radcliffe,GBR,17/12/1973,1,München,08/06/2002,Women,"10,000 m"
10,30:04.2,Berhane Adere,ETH,21/07/1973,1,Saint-Denis,23/08/2003,Women,"10,000 m"
1,00:03:26,Hicham El Guerrouj,MAR,14/09/1974,1,Roma,14/07/1998,Men,1500 m
2,03:26.1,Hicham El Guerrouj,MAR,14/09/1974,1,Bruxelles,24/08/2001,Men,1500 m
3,03:26.3,Bernard Lagat,KEN,12/12/1974,2,Bruxelles,24/08/2001,Men,1500 m
4,03:26.5,Hicham El Guerrouj,MAR,14/09/1974,1,Zürich,12/08/1998,Men,1500 m
5,03:26.7,Asbel Kiprop,KEN,30/06/1989,1,Monaco,17/07/2015,Men,1500 m
6,03:26.9,Hicham El Guerrouj,MAR,14/09/1974,1,Zürich,16/08/2002,Men,1500 m
7,03:27.0,Hicham El Guerrouj,MAR,14/09/1974,1,Rieti,08/09/2002,Men,1500 m
8,03:27.2,Hicham El Guerrouj,MAR,14/09/1974,1,Zürich,11/08/2000,Men,1500 m
9,03:27.3,Hicham El Guerrouj,MAR,14/09/1974,1,Monaco,19/07/2002,Men,1500 m
10,03:27.4,Noureddine Morceli,ALG,28/02/1970,1,Nice,12/07/1995,Men,1500 m
